reaction_id,compound,initial_concentration_mmol_l,pool_mode,initial_concentration_status,max_uptake_mmol_gdw_h,uptake_evidence_status,uptake_basis,source_locator,source_accessed_on,notes
R1164,H+,,boundary,environmental_boundary,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"Environmental boundary; no finite initial pool is asserted"
R1287,oxygen,,boundary,environmental_boundary,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"Aerobic environmental boundary; no finite initial pool is asserted"
R1364,water,,boundary,environmental_boundary,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"Environmental boundary; no finite initial pool is asserted"
R1189,bioavailable iron,0.000740,finite,formulation_proxy,0.0000667,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Ferric-chloride formulation is represented by the model Fe2+ exchange; uptake is concentration-scaled and not measured kinetics"
R946,(R)-pantothenate,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1263,myo-inositol,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R971,4-aminobenzoate,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1127,folic acid,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1268,nicotinate,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1314,riboflavin,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1003,adenine hemisulfate,0.054300608,finite,nominal_formulation,0.00489,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"10 mg/L divided by salt MW 184.16; uptake is concentration-scaled and not measured kinetics"
R1202,L-arginine,0.287026406,finite,nominal_formulation,0.02586,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by MW 174.20; uptake is concentration-scaled and not measured kinetics"
R1204,L-aspartic acid,0.601051841,finite,nominal_formulation,0.05414,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"80 mg/L divided by MW 133.10; uptake is concentration-scaled and not measured kinetics"
R1215,L-histidine,0.095406192,finite,nominal_formulation,0.00859,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"20 mg/L divided by HCl.H2O salt MW 209.63; uptake is concentration-scaled and not measured kinetics"
R1217,L-isoleucine,0.381184722,finite,nominal_formulation,0.03434,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by MW 131.17; uptake is concentration-scaled and not measured kinetics"
R1220,L-lysine,0.273747605,finite,nominal_formulation,0.02466,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by HCl salt MW 182.65; uptake is concentration-scaled and not measured kinetics"
R1222,L-methionine,0.134039274,finite,nominal_formulation,0.01207,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"20 mg/L divided by MW 149.21; uptake is concentration-scaled and not measured kinetics"
R1223,L-phenylalanine,0.302681760,finite,nominal_formulation,0.02727,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by MW 165.19; uptake is concentration-scaled and not measured kinetics"
R1231,L-threonine,0.839489590,finite,nominal_formulation,0.07562,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"100 mg/L divided by MW 119.12; uptake is concentration-scaled and not measured kinetics"
R1232,L-tryptophan,0.244822014,finite,nominal_formulation,0.02205,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by MW 204.23; uptake is concentration-scaled and not measured kinetics"
R1233,L-tyrosine,0.275953419,finite,nominal_formulation,0.02486,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"50 mg/L divided by MW 181.19; uptake is concentration-scaled and not measured kinetics"
R1234,L-valine,1.195049082,finite,nominal_formulation,0.10765,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"140 mg/L divided by MW 117.15; uptake is concentration-scaled and not measured kinetics"
R1219,L-leucine,0,closed,formulation_absent,0,closed,zero_by_formulation,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"Leucine is omitted from CSM-Leu and the exchange remains closed"
R1354,uracil,0.1784280489,finite,nominal_formulation,0.01607,inferred_upper_bound,initial_concentration_mmol_l_times_10_divided_by_111_rounded,https://sunrisescience.com/shop/growth-media/amino-acid-supplement-mixtures/csm-formulations/csm-leu-powder-10-grams/,2026-08-20,"20 mg/L divided by MW 112.09; the static-FBA override 1000 is not used as dFBA kinetics"
